flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[0.3674317241004976, -1.375345490815124]",2.0265812909809586,20.09898902434365,0.04387591500017152,0.0,0.0
1,"[0.3674317241004976, -1.375345490815124]",2.0265812909809586,9.155905483856696,0.03790706699965085,4.956199973094044e-05,6.634100009250687e-05
2,"[0.4531720535801602, 0.18219251792249214]",0.2385590237329972,3.2823785556526976,0.05649551700025768,5.2194000090821646e-05,7.307899977604393e-05
3,"[0.4531720535801602, 0.18219251792249214]",0.2385590237329972,1.4810148239919974,0.04301744500025961,5.0504999308031984e-05,5.791399962618016e-05
4,"[-0.047242370111430176, -0.4353961858675328]",0.19180168020174052,1.0804573952713095,0.027241832000072463,6.190100066305604e-05,6.619600026169792e-05
5,"[-0.047242370111430176, -0.4353961858675328]",0.19180168020174052,0.8069647396619616,0.033231268000236014,6.0899000345671084e-05,5.751999924541451e-05
6,"[-0.047242370111430176, -0.4353961858675328]",0.19180168020174052,0.793278633997068,0.025818872999479936,5.734899968956597e-05,5.531900023925118e-05
7,"[0.16446754644939923, 0.20031547962111906]",0.06717586521092425,0.45394305810459584,0.026464653999937582,6.487500013463432e-05,6.741200013493653e-05
8,"[0.23851701454208457, -0.07344359307375642]",0.0622843275896525,0.37328524735609275,0.027495861999341287,5.669200072588865e-05,6.831600057921605e-05
9,"[0.23851701454208457, -0.07344359307375642]",0.0622843275896525,0.28621605735663813,0.027480631999424077,5.448499996418832e-05,5.508900085260393e-05
10,"[0.20911456864152994, -0.04816749631165884]",0.046049010519066805,0.23801277397558818,0.02665957899989735,5.565900028159376e-05,0.00023508699996455107
