flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[-1.9652392241401417, 1.6683202653202858, 1.966751840983103, 1.235109709067363, -1.2332402663250104, -1.6702900061409505, 0.8704937511608892, 1.6655544562679778, 0.8182493041701449, -0.07106766899490014, -0.7827008102094983, 0.45647301566681664, -0.611257846716565, -1.414534003139599, -0.12009701749753598, 0.2409183185107966, 0.7392329596159928, 0.7936014455966136, -0.7421875506383786, -0.09797016645375156, 1.020141232025758, 1.7289173272761742, 0.900943933399537, 0.022804444561663306, -1.9675153554335467, -0.18438577495830577, -0.027022890874514705, 0.2090300201490103, 0.18055873153960267, -0.16710507266686547]",7844.6153965563935,13524.662832086142,0.0003386250000403379,0.0,0.0
1,"[-0.4731422791214236, -1.065819168977029, -0.16087865850267125, 1.4141689560520905, 0.47458719033110286, 0.5509356418498464, 0.6370949596068901, 1.0442058451068874, 1.085259622337377, 1.061848020561615, 0.1691956485167213, 0.5917301892886163, -1.2125770324187584, 0.9130253770871145, -0.26328511544291566, -0.5597491542185733, 1.1497089534818898, 0.5667457530691206, -0.625694015725172, -0.7358138202576622, 0.001561205675548183, -0.5918538226260329, -0.9789504843911153, 0.37800252664367473, 0.3173581615115898, -0.4625942438329711, -0.14083450779903273, 0.8309859551561057, -1.2233601749592053, -0.7177937493009301]",3011.453480387317,6705.910024532528,0.00032753100003901636,0.0011571180002647452,2.79930000033346e-05
2,"[-0.620633964716279, 0.6717836479643513, -0.2898245645198817, 0.25550123858360085, 0.5810890645359885, -1.0910523688925031, 0.21251455012323628, 0.8432596692852998, 0.6032446743361628, -0.08622777673546234, -0.03537523783318752, 0.24510045735397457, 0.3505261969685899, -0.4350745124997052, -0.057673605638414116, -0.42929480364858585, 0.8197371662382464, 1.0404826942591372, -0.4977123041207412, -0.11340493342637326, 0.5836048934146877, 0.2022424972952851, -0.7398523368201698, 0.025653989376450137, -0.934476182021985, -0.4299245884566234, 0.3297196241557744, 0.8774035677587864, 0.07388193554766509, -0.6012403556535177]",1425.3560827459503,3706.0460818188276,0.0003260729999965406,0.0011996550001640571,2.545300048950594e-05
3,"[-0.620633964716279, 0.6717836479643513, -0.2898245645198817, 0.25550123858360085, 0.5810890645359885, -1.0910523688925031, 0.21251455012323628, 0.8432596692852998, 0.6032446743361628, -0.08622777673546234, -0.03537523783318752, 0.24510045735397457, 0.3505261969685899, -0.4350745124997052, -0.057673605638414116, -0.42929480364858585, 0.8197371662382464, 1.0404826942591372, -0.4977123041207412, -0.11340493342637326, 0.5836048934146877, 0.2022424972952851, -0.7398523368201698, 0.025653989376450137, -0.934476182021985, -0.4299245884566234, 0.3297196241557744, 0.8774035677587864, 0.07388193554766509, -0.6012403556535177]",1425.3560827459503,2886.8857575963953,0.0003538049995768233,0.001195116000417329,2.016500093304785e-05
4,"[-1.1592328540276502, 0.7755263964751454, 0.7573788418394732, 0.6071594411423593, 0.11842014506061438, -0.4328659635252547, 0.08592774473067533, 0.7500778187476973, 0.7026556337849946, -0.11482285516978008, 0.21408222859725812, 0.5186777186507816, 0.2730028794956213, 0.06781969188730147, -0.2739187321824538, -0.06314108795912998, 0.4569639287808759, 0.898000015690612, -0.5974206168052765, 0.09768703854116365, 0.4888642415520258, 0.030381273569530187, -0.4670156888739744, -0.08105855880768087, -0.6162256057977573, -0.3237168006157911, 0.5853783252468572, 1.0379665705963248, 0.23448107106576926, -0.4969215016334695]",811.8244593743232,2285.7378715203495,0.00032331599959434243,0.001103341999623808,1.8079999790643342e-05
5,"[-1.1592328540276502, 0.7755263964751454, 0.7573788418394732, 0.6071594411423593, 0.11842014506061438, -0.4328659635252547, 0.08592774473067533, 0.7500778187476973, 0.7026556337849946, -0.11482285516978008, 0.21408222859725812, 0.5186777186507816, 0.2730028794956213, 0.06781969188730147, -0.2739187321824538, -0.06314108795912998, 0.4569639287808759, 0.898000015690612, -0.5974206168052765, 0.09768703854116365, 0.4888642415520258, 0.030381273569530187, -0.4670156888739744, -0.08105855880768087, -0.6162256057977573, -0.3237168006157911, 0.5853783252468572, 1.0379665705963248, 0.23448107106576926, -0.4969215016334695]",811.8244593743232,1841.6247119277332,0.0003327489994262578,0.0011416040006224648,2.0571999812091235e-05
6,"[-1.0510094564748187, 1.04498923036208, 0.7483545590922008, 0.8192950755244506, -0.3652121438447017, -0.27761664231525796, 0.36247383607628875, 0.3949576823072203, 0.9187886036357962, 0.11414489392931149, 0.09661942322423228, 0.9355838994309352, 0.46126700112478736, -0.39502060606541356, 0.028334323221677338, 0.45385310281459124, -0.0881057479949886, 0.6061118617568731, -0.5340304504641281, 0.6713132480042201, 0.5692608987460495, 0.2109815294248077, 0.036498604394817336, -0.429411914304287, -0.042486909417398966, -0.4790906999926748, 0.8325599149090759, 0.848072309828023, -0.25007031280006603, -0.1610131633220271]",786.4877740693422,1452.5163839199233,0.00034373000016785227,0.0011820509998869966,2.3080999199009966e-05
7,"[-1.0510094564748187, 1.04498923036208, 0.7483545590922008, 0.8192950755244506, -0.3652121438447017, -0.27761664231525796, 0.36247383607628875, 0.3949576823072203, 0.9187886036357962, 0.11414489392931149, 0.09661942322423228, 0.9355838994309352, 0.46126700112478736, -0.39502060606541356, 0.028334323221677338, 0.45385310281459124, -0.0881057479949886, 0.6061118617568731, -0.5340304504641281, 0.6713132480042201, 0.5692608987460495, 0.2109815294248077, 0.036498604394817336, -0.429411914304287, -0.042486909417398966, -0.4790906999926748, 0.8325599149090759, 0.848072309828023, -0.25007031280006603, -0.1610131633220271]",786.4877740693422,1287.307296793173,0.00044264900043344824,0.002250704999823938,0.00011942899891437264
8,"[-1.0510094564748187, 1.04498923036208, 0.7483545590922008, 0.8192950755244506, -0.3652121438447017, -0.27761664231525796, 0.36247383607628875, 0.3949576823072203, 0.9187886036357962, 0.11414489392931149, 0.09661942322423228, 0.9355838994309352, 0.46126700112478736, -0.39502060606541356, 0.028334323221677338, 0.45385310281459124, -0.0881057479949886, 0.6061118617568731, -0.5340304504641281, 0.6713132480042201, 0.5692608987460495, 0.2109815294248077, 0.036498604394817336, -0.429411914304287, -0.042486909417398966, -0.4790906999926748, 0.8325599149090759, 0.848072309828023, -0.25007031280006603, -0.1610131633220271]",786.4877740693422,1165.293886922959,0.0003308530003778287,0.0017607669997232733,2.6261999664711766e-05
9,"[0.10427324918542091, 0.8482584848389534, 0.1774110304271817, 0.23528820458259142, 0.43651373264111853, -0.2903706652004699, -0.5035391354323345, 0.5288303183953125, 0.7760757227520702, 0.3713816430545041, 0.2557729454274823, 0.8366160254966877, 0.6396872914546805, -0.42347725277056153, 0.052758327566933994, 0.321831913926666, -0.05462042846912808, 0.23131061679693943, -0.4138675561885756, 0.4747374936672596, 0.48946044433990293, 0.05109398743033289, -0.7665522898498485, 0.16883882252306387, -0.5805046259912083, -0.37088126235401964, 0.1562615840060118, 0.5525350078251802, -0.16585132148293197, -0.4280932978197824]",666.5341374153207,1004.3175546642799,0.000339535000421165,0.001447453999389836,3.0126999263302423e-05
10,"[-0.3238188210704458, 0.8616165679865654, 0.4179224398001059, 0.16292222200921025, 0.43352501776644914, -0.5193235488357393, -0.2808693522999278, 0.6619905321649886, 0.5299550086392517, 0.20139902483420286, 0.6063189085273464, 0.3815256003506159, -0.0763809784626242, 0.06275131237784692, 0.48158810557628023, 0.135789811935717, 0.11589530123637198, 0.3579310655292749, -0.35979582749677486, -0.13537700886423976, 0.6608558771042801, -0.11367511405709024, 0.1519061779466453, 0.003013507713965524, -0.6984432023980119, -0.24360113709893305, 0.10250983646146195, 0.6189142838307566, 0.05997520211525395, -0.3856232892997982]",568.7671512398207,916.687037669874,0.0003306500002508983,0.0011800590000348166,2.3375999262498226e-05
11,"[-0.8925962131190268, 0.6298320604736486, 0.6754966709092481, 0.6558593039639604, -0.3638578006983106, -0.18641722140366038, -0.5530881527701346, 0.3686859744475446, 0.5934260768134592, 0.5702272500353023, 0.2722014990110697, 0.19149820625999647, 0.17414319491319286, -0.008228378342462261, 0.3448906724407251, 0.07792058137233993, 0.1877277219622801, 0.38761323056977803, -0.4621607550309606, -0.16995823015895495, 0.4341414987414045, 0.11132041868487202, -0.10502752855492659, 0.13989069329431955, -0.14570335228427533, -0.2703723143324337, 0.17600659628857857, 0.3917602063259714, 0.012410760878468131, -0.36014059019705424]",319.5078222150819,807.1221890152324,0.0003241160002289689,0.001160881000032532,2.1776999346911907e-05
12,"[-0.8925962131190268, 0.6298320604736486, 0.6754966709092481, 0.6558593039639604, -0.3638578006983106, -0.18641722140366038, -0.5530881527701346, 0.3686859744475446, 0.5934260768134592, 0.5702272500353023, 0.2722014990110697, 0.19149820625999647, 0.17414319491319286, -0.008228378342462261, 0.3448906724407251, 0.07792058137233993, 0.1877277219622801, 0.38761323056977803, -0.4621607550309606, -0.16995823015895495, 0.4341414987414045, 0.11132041868487202, -0.10502752855492659, 0.13989069329431955, -0.14570335228427533, -0.2703723143324337, 0.17600659628857857, 0.3917602063259714, 0.012410760878468131, -0.36014059019705424]",319.5078222150819,637.2378845483178,0.000326544999552425,0.0017493489995104028,2.7044000489695463e-05
13,"[-0.8925962131190268, 0.6298320604736486, 0.6754966709092481, 0.6558593039639604, -0.3638578006983106, -0.18641722140366038, -0.5530881527701346, 0.3686859744475446, 0.5934260768134592, 0.5702272500353023, 0.2722014990110697, 0.19149820625999647, 0.17414319491319286, -0.008228378342462261, 0.3448906724407251, 0.07792058137233993, 0.1877277219622801, 0.38761323056977803, -0.4621607550309606, -0.16995823015895495, 0.4341414987414045, 0.11132041868487202, -0.10502752855492659, 0.13989069329431955, -0.14570335228427533, -0.2703723143324337, 0.17600659628857857, 0.3917602063259714, 0.012410760878468131, -0.36014059019705424]",319.5078222150819,586.3310524941687,0.00032776599982753396,0.0011467889999039471,1.983800029847771e-05
14,"[-0.789945301458883, 0.5093002666251749, 0.7476551230988094, 0.3243692349526074, 0.2289081269134059, 0.0038130424226265197, -0.5079709163426558, 0.24176345961786458, 0.42046350940730626, 0.7513453599688116, 0.23174338257060076, 0.011670161913825416, 0.36862367187043, 0.05519708291201009, 0.37854596200860946, 0.09370640549300203, 0.1836188574865567, 0.2810973388752748, -0.4570328723208644, -0.16918406685003604, 0.4748766494345258, 0.031216793702713908, -0.11723819565267293, 0.17151550635310783, 0.21741292718921867, -0.15293796717404967, 0.38607659861146687, 0.2327712545579767, -0.09137008186366274, -0.3416345004767479]",284.5312079239684,557.9256178855283,0.00032452999948873185,0.0011475209994387114,2.007100101764081e-05
15,"[-0.789945301458883, 0.5093002666251749, 0.7476551230988094, 0.3243692349526074, 0.2289081269134059, 0.0038130424226265197, -0.5079709163426558, 0.24176345961786458, 0.42046350940730626, 0.7513453599688116, 0.23174338257060076, 0.011670161913825416, 0.36862367187043, 0.05519708291201009, 0.37854596200860946, 0.09370640549300203, 0.1836188574865567, 0.2810973388752748, -0.4570328723208644, -0.16918406685003604, 0.4748766494345258, 0.031216793702713908, -0.11723819565267293, 0.17151550635310783, 0.21741292718921867, -0.15293796717404967, 0.38607659861146687, 0.2327712545579767, -0.09137008186366274, -0.3416345004767479]",284.5312079239684,477.5010078092408,0.0003439049996813992,0.0011053309999624616,2.087600114464294e-05
16,"[-0.6602447529025558, 0.618227303249013, 0.7097181007893019, 0.5230474009694766, -0.014112633875659197, 0.061220166732629394, -0.6129984935751984, 0.3245791509821352, 0.245131927425004, 0.49345741783908237, 0.22737058466679855, 0.25665967267154155, 0.2413272449465314, -0.42278789512250026, 0.2869275792836883, 0.23430357701456817, 0.17268833584783572, 0.31275012591587126, -0.48411367219089924, -0.057534319170721715, 0.4415770248686555, 0.15523906902282145, 0.04769878315407769, 0.06031572666438237, 0.27972127910462447, -0.2554696741709273, 0.3518743907522309, 0.38932064867998795, -0.0999365218721812, -0.27387199620662994]",260.8784632837765,434.645101608149,0.0005507460000444553,0.0011313649993098807,3.1562999538437e-05
17,"[-0.6602447529025558, 0.618227303249013, 0.7097181007893019, 0.5230474009694766, -0.014112633875659197, 0.061220166732629394, -0.6129984935751984, 0.3245791509821352, 0.245131927425004, 0.49345741783908237, 0.22737058466679855, 0.25665967267154155, 0.2413272449465314, -0.42278789512250026, 0.2869275792836883, 0.23430357701456817, 0.17268833584783572, 0.31275012591587126, -0.48411367219089924, -0.057534319170721715, 0.4415770248686555, 0.15523906902282145, 0.04769878315407769, 0.06031572666438237, 0.27972127910462447, -0.2554696741709273, 0.3518743907522309, 0.38932064867998795, -0.0999365218721812, -0.27387199620662994]",260.8784632837765,391.07926431192976,0.00036738499966304516,0.001122003000091354,2.4189000214391854e-05
