flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[0.604754426679893, -0.8219690565698092, -0.7158428478072933, 2.0273177305676136, 1.1306687694324449, 0.13610654686563217, 0.6907997436634248, -0.7674949013600221, -1.2876530557859418, 1.2107126195115554, -0.7347456598834432, 0.10671489647194754, 1.498082195016503, 0.4879121083642004, 0.048453192091026054, 0.14625883405486073, -0.8421560103890506, 1.0811985610098183, -0.8251476131389013, 0.9918760411813161, 1.134645347638675, 0.6423820076780875, 0.5633712980421448, -1.4844198587795203, 1.7891768959029206, -0.1981430115114562, 1.8261609754768768, -0.26054784058365743, 1.4154841300490046, -0.5606680726474498]",7723.629970284919,15296.08624658331,0.00033770200025173835,0.0,0.0
1,"[-0.8524538808391641, 0.07988934884629229, -0.6764978218211556, -0.013557614802415102, 1.4499511135344285, 1.1484179363106723, 1.1492484686280515, -0.8834572954072795, -0.6743804423540808, -0.6541096988123852, 0.3306548409117006, -0.3551124445369035, 0.7580886256032885, -0.07839902361683487, -1.0151011332779702, -0.4039585758253067, -0.8804839485873239, 1.0931546807485635, -0.9035013997361806, -0.8089980998294546, -0.038321333760502285, 0.27894969790792457, 0.5345849284655823, 0.82798492470441, 0.39992596064541963, -0.992691247233091, -0.0868344914566318, -1.1098599676562557, 0.7946596254533748, -0.8988325402749171]",3263.317641622123,6812.1724969600555,0.00033088800046243705,0.0011385010002413765,2.9954999263281934e-05
2,"[0.03346274765537549, -0.4879052753578329, -0.9198768029829865, 0.6680034916845534, 0.7786795222599682, 1.1406802532443718, 0.4638638072603034, -0.2401554837522959, -1.1090642000118403, 0.06294769207864104, 0.5503079768169998, -0.234661256675875, 0.9964378418766479, 0.553545607714207, -0.4446693961596805, 0.008723018979769126, -0.7069843959867578, 0.38158230730838094, 0.08360523493822503, 0.6953260136147285, -0.10829924781312195, 0.7980829296594903, 1.3520035799479633, 0.3051660377946074, 0.2634637490990639, 0.44807890200348666, 0.7552401059217823, 0.5405018384635042, 0.34525422646870635, -0.9465797992165863]",1458.365312176528,3670.383311982846,0.00032955500046227826,0.0011441650003689574,2.6575999982014764e-05
3,"[0.027022004696923008, -0.18598178690110057, -0.8153038838409528, 0.8896082478033902, 0.7845859740929613, 0.22551939275213584, 0.5111077848393161, -0.26702990722126385, -0.3672846735501344, 0.23554163129705552, 0.8111777450456524, -0.10035526296251268, 0.926299479266522, 0.5659982770175518, -0.7611702297969445, -0.10855533741168888, -0.9572502291462082, 0.29025516136488416, -0.3365193651652899, 0.3982433249697912, -0.5801877469452773, 0.8837202006293458, 1.0805638789098353, 0.2558623859990022, 0.9064579090529237, -0.5695970861232842, -0.8712099560628006, -0.10199492455509929, 0.5268111301547521, 0.3684556445244136]",1414.4825298670305,2884.1797009061133,0.0003264460001446423,0.0011758370001189178,2.361999941058457e-05
4,"[0.016066613041642086, -0.36291003169236347, -1.0015352688059587, 0.8997650702097695, 0.4632444118277297, 0.802066396613738, 0.5922048773482217, -0.16707893852116107, -0.4030568486130228, 0.18657556902619837, -0.09553670259591662, 0.1658165911156425, 0.8830022920296022, 0.31085772488105257, -0.7785770667578975, -0.02803700369286455, -1.0883313414178784, 0.03318150952324306, -0.295283365793357, 0.4180526104490854, -0.79123517078811, 0.8216602209722071, 0.43435686015116826, 0.39048626425258387, 0.6423237234264274, -0.8651135115767155, 0.044349335640360255, -0.007173812056301299, 0.9738691027085049, 0.48601588830196446]",1216.693401389063,2384.088543006789,0.00032862500029295916,0.001186573000268254,2.1470999854500405e-05
5,"[0.4750289801489453, -0.5761749103398573, -0.058488018721712054, 0.5316215463093519, 0.5456453117561771, 0.05653743181623816, 0.30367186934537815, -0.20584877325817286, -0.3428907009677539, -0.05573044908814201, 0.19138679087775745, -0.4599164510917019, 0.5238486725510155, -0.07913557170614616, -0.42977220563448637, -0.1303609746205295, -0.6559469343089818, 0.3348239739870297, -0.01738884463968915, 0.6611793158202299, -0.1559563835814528, 0.44002912293664426, 0.33063445097486655, 0.7570693027744657, 0.3473594790773713, -1.0628773055086638, -0.5095444607101569, -0.0749766847181492, -0.3344937905629125, 0.5879700890522896]",916.4298199607022,1876.2862282256717,0.00032775199997558957,0.0011652439998215414,2.240999947389355e-05
6,"[0.4914294851254458, -0.44477862671938523, -0.21385835933844188, 0.181906540045233, 0.5458039362098022, 0.6597813263947978, 0.3376162470922898, -0.14532481659405078, -0.222448968816461, -0.09099245132014566, 0.12836414802253338, -0.18667289923599784, 0.3060150569773069, 0.06319863592481334, -0.6093744641939909, -0.15459215876132582, -0.626788000254328, 0.24879956492077662, 0.011789329479727995, 0.534347378768953, -0.14781522261606972, 0.43816397149157316, 0.3318233632482058, 0.5775638555274587, 0.5023837169428851, -0.5138643189103768, -0.586133918596533, -0.3188658964310244, 0.009566361957567104, 0.47269133991592616]",564.3308366583925,1477.508262182193,0.00035615599972516065,0.0011499209995236015,2.3315000362345017e-05
7,"[0.4914294851254458, -0.44477862671938523, -0.21385835933844188, 0.181906540045233, 0.5458039362098022, 0.6597813263947978, 0.3376162470922898, -0.14532481659405078, -0.222448968816461, -0.09099245132014566, 0.12836414802253338, -0.18667289923599784, 0.3060150569773069, 0.06319863592481334, -0.6093744641939909, -0.15459215876132582, -0.626788000254328, 0.24879956492077662, 0.011789329479727995, 0.534347378768953, -0.14781522261606972, 0.43816397149157316, 0.3318233632482058, 0.5775638555274587, 0.5023837169428851, -0.5138643189103768, -0.586133918596533, -0.3188658964310244, 0.009566361957567104, 0.47269133991592616]",564.3308366583925,1171.5483235549702,0.00031956000020727515,0.0011529470002642483,2.027099981205538e-05
8,"[0.1500399037659541, -0.6575153362903018, 0.06926225059110946, -0.0915381875354615, 0.5947928778610855, 0.8827056600921394, 0.5536327054555663, -0.050411153364726596, -0.04274007692055276, 0.05162374438534367, 0.005719682742681087, -0.23414943906903002, 0.28164439811999104, -0.03385388676158796, -0.4329012538204436, -0.038166775176543766, -0.7219082627253952, 0.6755624312493678, 0.008871317898822312, 0.5014287164473529, -0.05928970630268725, 0.3770328880875185, 0.21173439233702163, 0.6906512749741704, 0.4772084409364683, 0.28357798661001116, -0.5366957106550786, -0.19235362293122527, 0.28838573332059125, 0.2052273615201421]",439.6148944336007,911.8917916934136,0.0003243430001020897,0.0011001880002368125,2.3255000087374356e-05
9,"[0.1500399037659541, -0.6575153362903018, 0.06926225059110946, -0.0915381875354615, 0.5947928778610855, 0.8827056600921394, 0.5536327054555663, -0.050411153364726596, -0.04274007692055276, 0.05162374438534367, 0.005719682742681087, -0.23414943906903002, 0.28164439811999104, -0.03385388676158796, -0.4329012538204436, -0.038166775176543766, -0.7219082627253952, 0.6755624312493678, 0.008871317898822312, 0.5014287164473529, -0.05928970630268725, 0.3770328880875185, 0.21173439233702163, 0.6906512749741704, 0.4772084409364683, 0.28357798661001116, -0.5366957106550786, -0.19235362293122527, 0.28838573332059125, 0.2052273615201421]",439.6148944336007,741.6212165462925,0.00032382099925598595,0.001152148999608471,2.112500078510493e-05
