flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[0.3674317241004976, -1.375345490815124]",35.83993375431481,41.83616361207973,1.869300001544616e-05,0.0,2.0411000036801852e-05
1,"[-0.899873758785463, -1.354025756614418]",20.638241267187926,28.89031898313498,1.3061000004199741e-05,2.6542999989942473e-05,1.586600001246552e-05
2,"[-0.899873758785463, -1.354025756614418]",20.638241267187926,28.086223548403307,7.408000101349899e-06,1.6888999994080223e-05,7.746999926894205e-06
3,"[-3.072, -1.1062995105143942]",13.815787063040428,18.004599408371295,0.00041161499996178463,2.305900000010297e-05,2.0222000102876336e-05
4,"[-3.072, -1.1062995105143942]",13.815787063040428,16.250731771231468,1.1389999940547568e-05,2.3391000013361918e-05,1.1674000006678398e-05
5,"[-3.072, -1.1062995105143942]",13.815787063040428,16.250731771231468,9.955999985322705e-06,1.8380000028628274e-05,8.071000024756358e-06
6,"[-2.9694557658250567, -0.9118896226153381]",11.326502116258323,14.900686358061426,1.0859999974854873e-05,1.9324000049891765e-05,1.0352999993301637e-05
7,"[-2.085965463350496, -0.8993791692489728]",8.516571954222995,13.964042970716315,9.374000001116656e-06,1.988899998650595e-05,1.014300005408586e-05
8,"[-2.085965463350496, -0.8993791692489728]",8.516571954222995,13.020079066993134,0.0,2.4156999984370486e-05,0.00018502800003261655
